Symbol,Side,Status,Filled,Avg Price,Filled Time,Commission
INTC,SELL,Filled,23,@77.84,01/09/2025 17:27:00 EST,0
INTC,BUY,Filled,23,@82.89,01/09/2025 17:38:00 EST,0
GOOGL,BUY,Filled,83,@161.77,01/09/2025 17:47:00 EST,0
GOOGL,SELL,Filled,83,@168.50,01/09/2025 19:09:00 EST,0
META,SELL,Filled,151,@19.58,01/09/2025 19:19:00 EST,0
META,BUY,Filled,151,@20.38,01/09/2025 19:38:00 EST,0
TSLA,BUY,Filled,137,@327.44,01/09/2025 19:55:00 EST,0
TSLA,SELL,Filled,137,@326.64,01/09/2025 21:01:00 EST,0
NFLX,SELL,Filled,151,@63.46,01/09/2025 21:19:00 EST,0
NFLX,BUY,Filled,151,@64.12,01/09/2025 21:41:00 EST,0
GOOGL,SELL,Filled,97,@327.97,01/09/2025 21:46:00 EST,0
GOOGL,BUY,Filled,97,@329.32,01/09/2025 22:29:00 EST,0
AMD,SELL,Filled,147,@177.25,01/09/2025 22:47:00 EST,0
AMD,BUY,Filled,147,@178.02,01/09/2025 23:33:00 EST,0
NFLX,SELL,Filled,69,@301.76,01/09/2025 23:42:00 EST,0
NFLX,BUY,Filled,69,@303.51,01/10/2025 00:35:00 EST,0
SOFI,BUY,Filled,136,@338.22,01/10/2025 00:50:00 EST,0
SOFI,SELL,Filled,136,@337.54,01/10/2025 01:07:00 EST,0
TSLA,SELL,Filled,13,@257.02,01/10/2025 01:24:00 EST,0
TSLA,BUY,Filled,13,@266.33,01/10/2025 02:29:00 EST,0
PLTR,SELL,Filled,176,@41.91,01/10/2025 02:40:00 EST,0
PLTR,BUY,Filled,176,@42.55,01/10/2025 03:25:00 EST,0
CRM,BUY,Filled,168,@37.92,01/10/2025 03:43:00 EST,0
CRM,SELL,Filled,168,@45.18,01/10/2025 03:59:00 EST,0
TSLA,BUY,Filled,123,@70.73,01/10/2025 04:15:00 EST,0
TSLA,SELL,Filled,123,@69.84,01/10/2025 04:27:00 EST,0
COIN,SELL,Filled,120,@63.77,01/10/2025 04:39:00 EST,0
COIN,BUY,Filled,120,@64.88,01/10/2025 05:05:00 EST,0
NVDA,SELL,Filled,168,@243.85,01/10/2025 05:13:00 EST,0
NVDA,BUY,Filled,168,@244.62,01/10/2025 06:39:00 EST,0
INTC,SELL,Filled,180,@18.15,01/10/2025 06:50:00 EST,0
INTC,BUY,Filled,180,@19.04,01/10/2025 07:15:00 EST,0
INTC,SELL,Filled,160,@115.22,01/10/2025 07:20:00 EST,0
INTC,BUY,Filled,160,@107.35,01/10/2025 08:03:00 EST,0
SHOP,SELL,Filled,37,@94.46,01/10/2025 08:12:00 EST,0
SHOP,BUY,Filled,37,@98.17,01/10/2025 08:54:00 EST,0
SOFI,SELL,Filled,80,@17.71,01/10/2025 08:57:00 EST,0
SOFI,BUY,Filled,80,@19.79,01/10/2025 10:19:00 EST,0
SMCI,BUY,Filled,165,@283.65,01/10/2025 10:37:00 EST,0
SMCI,SELL,Filled,165,@283.03,01/10/2025 12:06:00 EST,0
RIVN,BUY,Filled,170,@231.52,01/10/2025 12:13:00 EST,0
RIVN,SELL,Filled,170,@230.87,01/10/2025 12:34:00 EST,0
SMCI,SELL,Filled,116,@73.84,01/10/2025 12:39:00 EST,0
SMCI,BUY,Filled,116,@74.64,01/10/2025 13:51:00 EST,0
GOOGL,BUY,Filled,75,@321.21,01/10/2025 14:10:00 EST,0
GOOGL,SELL,Filled,75,@318.88,01/10/2025 14:58:00 EST,0
INTC,BUY,Filled,46,@267.64,01/10/2025 15:04:00 EST,0
INTC,SELL,Filled,46,@283.38,01/10/2025 15:59:00 EST,0
COIN,BUY,Filled,111,@19.66,01/10/2025 16:19:00 EST,0
COIN,SELL,Filled,111,@18.46,01/10/2025 16:57:00 EST,0
RIVN,SELL,Filled,37,@241.07,01/10/2025 17:12:00 EST,0
RIVN,BUY,Filled,37,@217.99,01/10/2025 17:58:00 EST,0
RIVN,BUY,Filled,172,@290.99,01/10/2025 18:08:00 EST,0
RIVN,SELL,Filled,172,@290.00,01/10/2025 18:30:00 EST,0
MSFT,SELL,Filled,136,@53.90,01/10/2025 18:34:00 EST,0
MSFT,BUY,Filled,136,@54.66,01/10/2025 19:26:00 EST,0
TSM,BUY,Filled,116,@234.40,01/10/2025 19:46:00 EST,0
TSM,SELL,Filled,116,@232.99,01/10/2025 20:26:00 EST,0
COIN,BUY,Filled,123,@163.97,01/10/2025 20:30:00 EST,0
COIN,SELL,Filled,123,@168.33,01/10/2025 21:22:00 EST,0
RIVN,SELL,Filled,25,@148.38,01/10/2025 21:42:00 EST,0
RIVN,BUY,Filled,25,@152.34,01/10/2025 22:45:00 EST,0
SOFI,BUY,Filled,174,@229.23,01/10/2025 22:50:00 EST,0
SOFI,SELL,Filled,174,@232.59,01/10/2025 23:11:00 EST,0
NVDA,BUY,Filled,160,@87.34,01/10/2025 23:20:00 EST,0
NVDA,SELL,Filled,160,@86.30,01/11/2025 00:41:00 EST,0
GOOGL,BUY,Filled,43,@195.97,01/11/2025 00:44:00 EST,0
GOOGL,SELL,Filled,43,@192.25,01/11/2025 01:05:00 EST,0
COIN,BUY,Filled,160,@123.46,01/11/2025 01:08:00 EST,0
COIN,SELL,Filled,160,@122.85,01/11/2025 02:20:00 EST,0
NVDA,SELL,Filled,124,@275.64,01/11/2025 02:26:00 EST,0
NVDA,BUY,Filled,124,@276.70,01/11/2025 03:49:00 EST,0
SOFI,SELL,Filled,127,@230.52,01/11/2025 03:53:00 EST,0
SOFI,BUY,Filled,127,@224.64,01/11/2025 04:52:00 EST,0
BA,SELL,Filled,28,@316.25,01/11/2025 04:58:00 EST,0
BA,BUY,Filled,28,@320.26,01/11/2025 06:22:00 EST,0
PLTR,SELL,Filled,162,@192.74,01/11/2025 06:42:00 EST,0
PLTR,BUY,Filled,162,@182.52,01/11/2025 08:10:00 EST,0
AMZN,SELL,Filled,125,@312.51,01/11/2025 08:30:00 EST,0
AMZN,BUY,Filled,125,@304.78,01/11/2025 08:47:00 EST,0
TSM,SELL,Filled,180,@100.39,01/11/2025 09:00:00 EST,0
TSM,BUY,Filled,180,@101.36,01/11/2025 09:16:00 EST,0
NVDA,SELL,Filled,34,@264.44,01/11/2025 09:21:00 EST,0
NVDA,BUY,Filled,34,@267.89,01/11/2025 10:37:00 EST,0
SOFI,BUY,Filled,115,@133.46,01/11/2025 10:50:00 EST,0
SOFI,SELL,Filled,115,@143.02,01/11/2025 11:01:00 EST,0
ADBE,SELL,Filled,100,@49.71,01/11/2025 11:13:00 EST,0
ADBE,BUY,Filled,100,@44.57,01/11/2025 11:31:00 EST,0
CRM,SELL,Filled,39,@270.47,01/11/2025 11:45:00 EST,0
CRM,BUY,Filled,39,@273.99,01/11/2025 13:09:00 EST,0
AAPL,SELL,Filled,17,@75.44,01/11/2025 13:29:00 EST,0
AAPL,BUY,Filled,17,@84.28,01/11/2025 13:34:00 EST,0
AMD,SELL,Filled,27,@62.53,01/11/2025 13:42:00 EST,0
AMD,BUY,Filled,27,@67.84,01/11/2025 14:14:00 EST,0
TSM,SELL,Filled,97,@67.73,01/11/2025 14:29:00 EST,0
TSM,BUY,Filled,97,@68.88,01/11/2025 15:50:00 EST,0
MSFT,BUY,Filled,50,@267.74,01/11/2025 15:55:00 EST,0
MSFT,SELL,Filled,50,@266.04,01/11/2025 16:54:00 EST,0
ADBE,SELL,Filled,116,@106.51,01/11/2025 17:12:00 EST,0
ADBE,BUY,Filled,116,@101.57,01/11/2025 17:53:00 EST,0
AVGO,SELL,Filled,21,@88.87,01/11/2025 18:11:00 EST,0
AVGO,BUY,Filled,21,@97.37,01/11/2025 18:43:00 EST,0
GOOGL,SELL,Filled,93,@55.19,01/11/2025 18:50:00 EST,0
GOOGL,BUY,Filled,93,@56.59,01/11/2025 20:03:00 EST,0
AVGO,SELL,Filled,28,@148.02,01/11/2025 20:13:00 EST,0
AVGO,BUY,Filled,28,@153.53,01/11/2025 20:27:00 EST,0
ORCL,SELL,Filled,156,@150.48,01/11/2025 20:40:00 EST,0
ORCL,BUY,Filled,156,@151.40,01/11/2025 21:26:00 EST,0
ADBE,SELL,Filled,186,@323.12,01/11/2025 21:34:00 EST,0
ADBE,BUY,Filled,186,@323.60,01/11/2025 22:54:00 EST,0
AVGO,BUY,Filled,111,@306.63,01/11/2025 23:09:00 EST,0
AVGO,SELL,Filled,111,@305.24,01/11/2025 23:23:00 EST,0
RIVN,BUY,Filled,145,@185.83,01/11/2025 23:42:00 EST,0
RIVN,SELL,Filled,145,@184.65,01/12/2025 01:09:00 EST,0
NFLX,BUY,Filled,47,@100.75,01/12/2025 01:16:00 EST,0
NFLX,SELL,Filled,47,@98.68,01/12/2025 01:30:00 EST,0
RIVN,SELL,Filled,128,@267.74,01/12/2025 01:38:00 EST,0
RIVN,BUY,Filled,128,@268.96,01/12/2025 02:55:00 EST,0
RIVN,SELL,Filled,48,@162.32,01/12/2025 03:08:00 EST,0
RIVN,BUY,Filled,48,@144.37,01/12/2025 04:28:00 EST,0
COIN,BUY,Filled,89,@169.68,01/12/2025 04:32:00 EST,0
COIN,SELL,Filled,89,@174.59,01/12/2025 05:59:00 EST,0
ADBE,SELL,Filled,128,@209.41,01/12/2025 06:04:00 EST,0
ADBE,BUY,Filled,128,@189.60,01/12/2025 07:22:00 EST,0
PLTR,SELL,Filled,138,@65.54,01/12/2025 07:31:00 EST,0
PLTR,BUY,Filled,138,@66.16,01/12/2025 08:19:00 EST,0
AVGO,BUY,Filled,20,@97.99,01/12/2025 08:24:00 EST,0
AVGO,SELL,Filled,20,@132.87,01/12/2025 08:49:00 EST,0
COIN,SELL,Filled,109,@151.94,01/12/2025 09:03:00 EST,0
COIN,BUY,Filled,109,@152.98,01/12/2025 10:30:00 EST,0
NVDA,SELL,Filled,34,@201.92,01/12/2025 10:43:00 EST,0
NVDA,BUY,Filled,34,@186.17,01/12/2025 12:05:00 EST,0
PLTR,BUY,Filled,159,@237.31,01/12/2025 12:12:00 EST,0
PLTR,SELL,Filled,159,@236.23,01/12/2025 13:41:00 EST,0
AMD,BUY,Filled,89,@202.24,01/12/2025 13:56:00 EST,0
AMD,SELL,Filled,89,@200.62,01/12/2025 15:08:00 EST,0
RIVN,SELL,Filled,140,@136.21,01/12/2025 15:13:00 EST,0
RIVN,BUY,Filled,140,@137.04,01/12/2025 16:20:00 EST,0
NFLX,BUY,Filled,49,@40.85,01/12/2025 16:29:00 EST,0
NFLX,SELL,Filled,49,@52.95,01/12/2025 17:41:00 EST,0
SOFI,SELL,Filled,168,@58.90,01/12/2025 17:45:00 EST,0
SOFI,BUY,Filled,168,@56.12,01/12/2025 19:09:00 EST,0
